Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
1511,서울특별시 종로구 북촌로 143-10 (삼청동),서울특별시 종로구 삼청동 27-21번지,126.9829463,37.58712283,부엉이박물관,종로구,박물관
1512,서울특별시 서초구 신흥안길 40-10 (내곡동),서울특별시 서초구 내곡동 1-376번지,127.0753135,37.45409692,분재박물관,서초구,박물관
1514,서울특별시 강북구 도봉로76가길 55 (미아동성신여자대학교운정그린캠퍼스),서울특별시 강북구 미아동 147번지 성신여자대학교운정그린캠퍼스,127.0270889,37.63189234,성신여자대학교 운정그린캠퍼스 자연사박물관,강북구,박물관
1515,서울특별시 강북구 도봉로76가길 55 (미아동성신여자대학교운정그린캠퍼스),서울특별시 강북구 미아동 147번지 성신여자대학교운정그린캠퍼스,127.0270889,37.63189234,성신여자대학교 운정그린캠퍼스 정원박광훈복식박물관,강북구,박물관
1516,서울특별시 동작구 상도로 369 (상도동숭실대학교),서울특별시 동작구 상도동 511번지 숭실대학교,126.9543756,37.49593882,숭실대한국기독교박물관,동작구,박물관
1517,서울특별시 종로구 인사동길 19-11 (인사동),서울특별시 종로구 인사동 193-1번지,126.9859065,37.57243711,아름다운차 박물관,종로구,박물관
1520,서울특별시 동작구 현충로 124 (흑석동),서울특별시 동작구 흑석동 42-1번지,126.9670497,37.50661634,조선일보 뉴지엄,동작구,박물관
1521,서울특별시 노원구 화랑로 727 (공릉동대한체육회선수촌),서울특별시 노원구 공릉동 26-17번지 대한체육회선수촌,127.1032359,37.6337546,한국체육박물관,노원구,박물관
1526,서울특별시 서대문구 신촌로 129 (창천동아트레온),서울특별시 서대문구 창천동 20-25번지 아트레온 아트레온,126.9403161,37.5564595,우석전각뮤지엄,서대문구,기념관
1527,서울특별시 마포구 신촌로 12 (동교동동우빌딩),서울특별시 마포구 동교동 174-11번지 동우빌딩 나길26,126.9277524,37.55812642,이한열기념관,마포구,기념관
