명칭,좌표주소,위도,경도,상세주소,상세내용
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로18길 39,37.4405504,126.9058523,시흥대로18길 39,관리번호: G128
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 1038-9,37.5136206,126.7519653,푸른골 어린이공원,관리번호: A111
공원방범 CCTV,대한민국 서울특별시 금천구 독산동,36.4269583,127.3885725,목화 어린이공원,관리번호: A112
공원방범 CCTV,대한민국 서울특별시 금천구 189-1,36.4269583,127.3885725,쌈지 어린이공원,관리번호: A113
공원방범 CCTV,대한민국 서울특별시 금천구 독산로39길 16,37.4588052,126.904248,독산로39길 16,관리번호: A114
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동,35.2010134,126.8974014,비둘기 어린이공원,관리번호: A115
공원방범 CCTV,대한민국 서울특별시 금천구 시흥대로38길 61,37.44696,126.9039552,시흥대로38길 61 금천 폭포공원,관리번호: A116
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동 791-35,37.7510418,127.0773712,송록 어린이공원,관리번호: A117
공원방범 CCTV,대한민국 서울특별시 금천구 시흥동,36.4269583,127.3885725,꾸러기 어린이공원,관리번호: A118
공원방범 CCTV,대한민국 서울특별시 관악구 봉천동 까치어린이공원,37.4797951,126.9595293,까치 어린이공원,관리번호: A119
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로108길 37,37.479638,126.9059666,독산로108길 37,관리번호: C101
어린이보호 CCTV,대한민국 서울특별시 금천구 시흥대로98길 45,37.4642576,126.9002878,시흥대로98길 45 독산유치원 골목 끝,관리번호: C102
어린이보호 CCTV,대한민국 서울특별시 금천구 가산로 111,37.4755779,126.8929078,가산로111,관리번호: C103
어린이보호 CCTV,대한민국 서울특별시 금천구 독산4동 938-5 구립정심어린이집,37.4677401,126.9072848,정심 어린이집,관리번호: C104
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로54길,37.4695115,126.9071222,독산로54길 251 개미 어린이집,관리번호: C105
